total_focos,ano,mes,estado
28,2001,1,CE
8,2001,1,ES
28,2001,1,GO
59,2001,1,MA
18,2001,1,MG
97,2001,1,MS
44,2001,1,MT
43,2001,1,PA
17,2001,1,PB
7,2001,1,PE
40,2001,1,PI
32,2001,1,PR
4,2001,1,RN
1856,2001,1,RO
132,2001,1,RR
12,2001,1,RS
11,2001,1,SC
2,2001,1,SE
26,2001,1,SP
197,2001,1,TO
76,2001,2,AC
4,2001,2,AL
404,2001,2,AM
36,2001,2,AP
101,2001,2,BA
5,2001,2,CE
1,2001,2,DF
15,2001,2,ES
9,2001,2,GO
84,2001,2,MA
39,2001,2,MG
90,2001,2,MS
54,2001,2,MT
18,2001,2,PA
10,2001,2,PB
2,2001,2,PE
40,2001,2,PI
8,2001,2,PR
3,2001,2,RJ
1,2001,2,RN
359,2001,2,RO
679,2001,2,RR
32,2001,2,RS
2,2001,2,SE
25,2001,2,SP
172,2001,2,TO
6,2001,3,AC
721,2001,3,AM
27,2001,3,AP
4,2001,3,BA
9,2001,3,ES
10,2001,3,GO
60,2001,3,MA
13,2001,3,MG
39,2001,3,MS
24,2001,3,MT
16,2001,3,PA
3,2001,3,PB
43,2001,3,PI
12,2001,3,PR
353,2001,3,RO
1152,2001,3,RR
11,2001,3,RS
1,2001,3,SC
1,2001,3,SE
35,2001,3,SP
500,2001,3,TO
5,2001,4,AC
402,2001,4,AM
11,2001,4,AP
26,2001,4,BA
2,2001,4,CE
6,2001,4,ES
49,2001,4,GO
19,2001,4,MA
60,2001,4,MG
108,2001,4,MS
309,2001,4,MT
10,2001,4,PA
7,2001,4,PB
2,2001,4,PE
4,2001,4,PI
43,2001,4,PR
2,2001,4,RJ
11,2001,4,RN
30,2001,4,RO
404,2001,4,RR
3,2001,4,RS
1,2001,4,SC
61,2001,4,SP
229,2001,4,TO
3,2001,5,AC
2,2001,5,AL
183,2001,5,AM
12,2001,5,AP
84,2001,5,BA
81,2001,5,CE
8,2001,5,ES
85,2001,5,GO
31,2001,5,MA
83,2001,5,MG
112,2001,5,MS
1191,2001,5,MT
30,2001,5,PA
7,2001,5,PB
6,2001,5,PE
40,2001,5,PI
26,2001,5,PR
4,2001,5,RJ
56,2001,5,RN
30,2001,5,RO
15,2001,5,RR
4,2001,5,RS
2,2001,5,SC
3,2001,5,SE
211,2001,5,SP
231,2001,5,TO
8,2001,6,AC
2,2001,6,AL
43,2001,6,AM
6,2001,6,AP
98,2001,6,BA
38,2001,6,CE
3,2001,6,DF
9,2001,6,ES
209,2001,6,GO
107,2001,6,MA
165,2001,6,MG
250,2001,6,MS
6641,2001,6,MT
47,2001,6,PA
3,2001,6,PE
110,2001,6,PI
43,2001,6,PR
13,2001,6,RJ
16,2001,6,RN
68,2001,6,RO
15,2001,6,RR
1,2001,6,RS
1,2001,6,SC
345,2001,6,SP
381,2001,6,TO
24,2001,7,AC
49,2001,7,AM
38,2001,7,AP
245,2001,7,BA
149,2001,7,CE
22,2001,7,DF
13,2001,7,ES
370,2001,7,GO
583,2001,7,MA
265,2001,7,MG
590,2001,7,MS
1554,2001,7,MT
758,2001,7,PA
10,2001,7,PB
8,2001,7,PE
593,2001,7,PI
120,2001,7,PR
57,2001,7,RJ
63,2001,7,RN
217,2001,7,RO
35,2001,7,RR
6,2001,7,RS
5,2001,7,SC
539,2001,7,SP
1464,2001,7,TO
436,2001,8,AC
1,2001,8,AL
532,2001,8,AM
53,2001,8,AP
978,2001,8,BA
231,2001,8,CE
25,2001,8,DF
31,2001,8,ES
788,2001,8,GO
2203,2001,8,MA
858,2001,8,MG
2450,2001,8,MS
7755,2001,8,MT
9104,2001,8,PA
35,2001,8,PB
46,2001,8,PE
2171,2001,8,PI
343,2001,8,PR
127,2001,8,RJ
107,2001,8,RN
2533,2001,8,RO
107,2001,8,RR
36,2001,8,RS
25,2001,8,SC
587,2001,8,SP
3548,2001,8,TO
355,2001,9,AC
5,2001,9,AL
189,2001,9,AM
102,2001,9,AP
3957,2001,9,BA
813,2001,9,CE
13,2001,9,DF
38,2001,9,ES
1861,2001,9,GO
4615,2001,9,MA
1597,2001,9,MG
1384,2001,9,MS
8487,2001,9,MT
6147,2001,9,PA
101,2001,9,PB
316,2001,9,PE
2886,2001,9,PI
258,2001,9,PR
60,2001,9,RJ
59,2001,9,RN
2121,2001,9,RO
24,2001,9,RR
2,2001,9,RS
18,2001,9,SC
1,2001,9,SE
423,2001,9,SP
5397,2001,9,TO
151,2001,10,AC
15,2001,10,AL
375,2001,10,AM
210,2001,10,AP
1687,2001,10,BA
2052,2001,10,CE
19,2001,10,ES
477,2001,10,GO
6650,2001,10,MA
529,2001,10,MG
563,2001,10,MS
6544,2001,10,MT
5104,2001,10,PA
280,2001,10,PB
482,2001,10,PE
4024,2001,10,PI
211,2001,10,PR
33,2001,10,RJ
58,2001,10,RN
841,2001,10,RO
50,2001,10,RR
13,2001,10,RS
26,2001,10,SC
5,2001,10,SE
441,2001,10,SP
1168,2001,10,TO
15,2001,11,AC
22,2001,11,AL
309,2001,11,AM
407,2001,11,AP
699,2001,11,BA
2461,2001,11,CE
3,2001,11,ES
15,2001,11,GO
3559,2001,11,MA
62,2001,11,MG
220,2001,11,MS
373,2001,11,MT
4937,2001,11,PA
298,2001,11,PB
204,2001,11,PE
1568,2001,11,PI
89,2001,11,PR
4,2001,11,RJ
40,2001,11,RN
104,2001,11,RO
110,2001,11,RR
49,2001,11,RS
66,2001,11,SC
5,2001,11,SE
168,2001,11,SP
412,2001,11,TO
61,2001,12,AC
30,2001,12,AL
194,2001,12,AM
697,2001,12,AP
158,2001,12,BA
545,2001,12,CE
1,2001,12,DF
1,2001,12,ES
18,2001,12,GO
1359,2001,12,MA
44,2001,12,MG
143,2001,12,MS
37,2001,12,MT
2576,2001,12,PA
70,2001,12,PB
62,2001,12,PE
270,2001,12,PI
85,2001,12,PR
2,2001,12,RJ
21,2001,12,RN
172,2001,12,RO
117,2001,12,RR
80,2001,12,RS
45,2001,12,SC
5,2001,12,SE
52,2001,12,SP
199,2001,12,TO
148,2002,1,AC
12,2002,1,AL
508,2002,1,AM
185,2002,1,AP
124,2002,1,BA
44,2002,1,CE
6,2002,1,ES
12,2002,1,GO
378,2002,1,MA
29,2002,1,MG
305,2002,1,MS
172,2002,1,MT
280,2002,1,PA
10,2002,1,PB
11,2002,1,PE
